Timestamp: 2024-12-20_11-14-39, Latitude: 23.15807336812356, Longitude: 113.34150359971255, Altitude: 29.2611141204834
Timestamp: 2024-12-20_11-14-39, Latitude: 23.15807336812356, Longitude: 113.34150359971255, Altitude: 29.2611141204834
Timestamp: 2024-12-20_11-14-39, Latitude: 23.15807336812356, Longitude: 113.34150359971255, Altitude: 29.2611141204834
Timestamp: 2024-12-20_11-14-39, Latitude: 23.15807336812356, Longitude: 113.34150359971255, Altitude: 29.2611141204834
Timestamp: 2024-12-20_11-14-39, Latitude: 23.15807336812356, Longitude: 113.34150359971255, Altitude: 29.2611141204834
Timestamp: 2024-12-20_11-14-39, Latitude: 23.15807336812356, Longitude: 113.34150359971255, Altitude: 29.2611141204834
Timestamp: 2024-12-20_11-14-39, Latitude: 23.15807336812356, Longitude: 113.34150359971255, Altitude: 29.2611141204834
Timestamp: 2024-12-20_11-14-39, Latitude: 23.15807336812356, Longitude: 113.34150359971255, Altitude: 29.2611141204834
Timestamp: 2024-12-20_11-14-39, Latitude: 23.15807336812356, Longitude: 113.34150359971255, Altitude: 29.2611141204834
Timestamp: 2024-12-20_11-14-39, Latitude: 23.15807336812356, Longitude: 113.34150359971255, Altitude: 29.2611141204834
Timestamp: 2024-12-20_11-14-39, Latitude: 23.15807336812356, Longitude: 113.34150359971255, Altitude: 29.2611141204834
Timestamp: 2024-12-20_11-14-39, Latitude: 23.15807336812356, Longitude: 113.34150359971255, Altitude: 29.2611141204834
Timestamp: 2024-12-20_11-14-39, Latitude: 23.15807336812356, Longitude: 113.34150359971255, Altitude: 29.2611141204834
Timestamp: 2024-12-20_11-14-39, Latitude: 23.15807336812356, Longitude: 113.34150359971255, Altitude: 29.2611141204834
Timestamp: 2024-12-20_11-14-39, Latitude: 23.158073368285805, Longitude: 113.34150362539975, Altitude: 29.269790649414062
Timestamp: 2024-12-20_11-14-39, Latitude: 23.158073368285805, Longitude: 113.34150362539975, Altitude: 29.269790649414062
Timestamp: 2024-12-20_11-14-40, Latitude: 23.158073368285805, Longitude: 113.34150362539975, Altitude: 29.269790649414062
Timestamp: 2024-12-20_11-14-40, Latitude: 23.158073368285805, Longitude: 113.34150362539975, Altitude: 29.269790649414062
Timestamp: 2024-12-20_11-14-40, Latitude: 23.158073368285805, Longitude: 113.34150362539975, Altitude: 29.269790649414062
Timestamp: 2024-12-20_11-14-40, Latitude: 23.158073368285805, Longitude: 113.34150362539975, Altitude: 29.269790649414062
Timestamp: 2024-12-20_11-14-40, Latitude: 23.158073368285805, Longitude: 113.34150362539975, Altitude: 29.269790649414062
Timestamp: 2024-12-20_11-14-40, Latitude: 23.158073368285805, Longitude: 113.34150362539975, Altitude: 29.269790649414062
Timestamp: 2024-12-20_11-14-40, Latitude: 23.158073368285805, Longitude: 113.34150362539975, Altitude: 29.269790649414062
Timestamp: 2024-12-20_11-14-40, Latitude: 23.158073368285805, Longitude: 113.34150362539975, Altitude: 29.269790649414062
Timestamp: 2024-12-20_11-14-40, Latitude: 23.158073368285805, Longitude: 113.34150362539975, Altitude: 29.269790649414062
Timestamp: 2024-12-20_11-14-40, Latitude: 23.158073368285805, Longitude: 113.34150362539975, Altitude: 29.269790649414062
Timestamp: 2024-12-20_11-14-41, Latitude: 23.158073360870752, Longitude: 113.34150365187226, Altitude: 29.266103744506836
Timestamp: 2024-12-20_11-14-41, Latitude: 23.158073360870752, Longitude: 113.34150365187226, Altitude: 29.266103744506836
